Frame_number,Timestamp,License_plate_text,License_plate_coordinates,Confidence_score
126,2024-04-18 11:39:45,IL12A9759,"(0, 404, 149, 437)",0.15836867950512978
127,2024-04-18 11:39:46,IL12B9759,"(2, 404, 151, 437)",0.22319622833651645
128,2024-04-18 11:39:47,IL12B9759,"(16, 407, 152, 437)",0.35929301282941256
129,2024-04-18 11:39:47,IL12B9759,"(22, 408, 155, 438)",0.6389286413007792
130,2024-04-18 11:39:48,OI28q7598,"(35, 406, 160, 437)",0.14052285991936986
131,2024-04-18 11:39:48,OI28q7598,"(39, 407, 162, 438)",0.41217410466702986
132,2024-04-18 11:39:49,OI28q7598,"(46, 409, 164, 438)",0.4806682899270933
140,2024-04-18 11:39:53,IO41CO7150,"(829, 505, 883, 525)",0.032999191311611296
191,2024-04-18 11:40:23,OA24q7150,"(874, 501, 947, 526)",0.03718638791638932
202,2024-04-18 11:40:30,LD42bO4150,"(887, 505, 953, 525)",0.08158405527278753
203,2024-04-18 11:40:30,ED42CO7150,"(887, 505, 956, 525)",0.08958590295414795
204,2024-04-18 11:40:31,ED42CO7150,"(892, 505, 957, 525)",0.20275983195009994
205,2024-04-18 11:40:31,ED42CO7150,"(890, 503, 958, 525)",0.1374060167701778
221,2024-04-18 11:40:40,OL26O3150,"(910, 499, 998, 521)",0.09933301226511104
226,2024-04-18 11:40:43,DL20O2150,"(916, 498, 999, 521)",0.08057015779609124
235,2024-04-18 11:40:49,DL24O2150,"(938, 500, 1014, 520)",0.09230096142142015
237,2024-04-18 11:40:50,OL24O3150,"(941, 498, 1019, 519)",0.1521028285681623
242,2024-04-18 11:40:54,OL24q3150,"(950, 493, 1028, 517)",0.23093576494950493
248,2024-04-18 11:40:58,qB18IO8767,"(4, 141, 131, 183)",0.853359742322146
248,2024-04-18 11:40:58,qB18IO8767,"(3, 346, 115, 384)",0.15035032108745297
252,2024-04-18 11:41:01,IS81S7974,"(1, 348, 132, 389)",0.12597669261239283
253,2024-04-18 11:41:02,qB18IO8767,"(1, 154, 154, 192)",0.23662522712822612
256,2024-04-18 11:41:04,DL24O2150,"(975, 484, 1065, 510)",0.17958816890925342
257,2024-04-18 11:41:05,DL24O3150,"(981, 485, 1069, 509)",0.1371072192077863
257,2024-04-18 11:41:05,DL24O3150,"(0, 351, 154, 390)",0.1754878059402431
259,2024-04-18 11:41:08,MP16BT5797,"(1, 358, 160, 395)",0.3011864831264345
260,2024-04-18 11:41:09,DL24O3450,"(990, 484, 1076, 509)",0.2785722275713837
260,2024-04-18 11:41:09,MP16BT5797,"(1, 362, 161, 396)",0.32278485571928744
260,2024-04-18 11:41:09,MP16BT5797,"(2, 164, 180, 201)",0.7278906123273717
261,2024-04-18 11:41:10,MP15BT5797,"(2, 356, 169, 394)",0.23341011264118977
261,2024-04-18 11:41:10,MP15BT5797,"(0, 168, 183, 204)",0.4126066241115143
262,2024-04-18 11:41:11,MP16BT5797,"(7, 362, 171, 397)",0.19073846188446972
262,2024-04-18 11:41:12,MP16BT5797,"(4, 170, 185, 208)",0.04130247092732107
263,2024-04-18 11:41:13,MP16BT5797,"(993, 484, 1086, 508)",0.18447741587907612
263,2024-04-18 11:41:13,PI68TS7974,"(13, 356, 175, 395)",0.09728839065987718
263,2024-04-18 11:41:13,PI68TS7974,"(2, 171, 194, 210)",0.8218065914917558
