Frame Number,Timestamp,License Plate Text,Confidence
126,52:28.9,IL12A9759,0.15836868
127,52:30.8,IL12B9759,0.223196228
128,52:32.3,IL12B9759,0.359293013
129,52:33.9,IL12B9759,0.638928641
130,52:35.5,OI28q7598,0.14052286
131,52:36.9,OI28q7598,0.412174105
132,52:38.3,OI28q7598,0.48066829
140,52:51.4,IO41CO7150,0.032999191
191,54:13.9,OA24q7150,0.037186388
202,54:30.7,LD42bO4150,0.081584055
203,54:32.4,ED42CO7150,0.089585903
204,54:34.0,ED42CO7150,0.202759832
205,54:35.3,ED42CO7150,0.137406017
221,55:00.3,OL26O3150,0.099333012
226,55:07.9,DL20O2150,0.080570158
235,55:24.9,DL24O2150,0.092300961
237,55:28.8,OL24O3150,0.152102829
242,55:38.2,OL24q3150,0.230935765
248,55:51.3,qB18IO8767,0.853359742
248,55:51.6,qB18IO8767,0.150350321
252,56:01.0,IS81S7974,0.125976693
253,56:02.9,qB18IO8767,0.236625227
256,56:09.0,DL24O2150,0.179588169
257,56:11.0,DL24O3150,0.137107219
257,56:11.5,DL24O3150,0.175487806
259,56:16.5,MP16BT5797,0.301186483
260,56:17.9,DL24O3450,0.278572228
260,56:18.2,MP16BT5797,0.322784856
260,56:18.6,MP16BT5797,0.727890612
261,56:20.7,MP15BT5797,0.233410113
261,56:21.1,MP15BT5797,0.412606624
262,56:23.0,MP16BT5797,0.190738462
262,56:23.6,MP16BT5797,0.041302471
263,56:25.3,MP16BT5797,0.184477416
263,56:25.8,PI68TS7974,0.097288391
263,56:26.3,PI68TS7974,0.821806591
263,56:26.3,qB18IO8164,0.304338576
264,56:28.9,qB18IO8767,0.543573437
267,56:35.2,MP16BT5797,0.165834174
267,56:35.8,MP16BT5797,0.379735455
267,56:35.8,qB18IO8767,0.815095336
268,56:38.5,qB18IO8767,0.94564355
271,56:45.2,WP16BT5797,0.241894514
271,56:45.9,WP16BT5797,0.080162286
271,56:45.9,WP16BT5797,0.903940494
271,56:45.9,WP16BT5797,0.245739401
272,56:47.6,WP16BT5797,0.22560483
272,56:48.6,qB18AO8767,0.621682911
273,56:51.1,qB18IO8767,0.715999097
274,56:52.8,PI68T5797,0.160760043
275,56:54.5,MP16BT5797,0.187877105
276,56:56.3,MP16BI5797,0.313987104
278,57:02.7,qB18IO8767,0.335094853
278,57:02.7,qB18IO8767,0.215181119
279,57:04.8,qB18IO8767,0.209840468
285,57:21.9,MP16BT5797,0.207222329
285,57:22.8,qO18IO8167,0.165875456
287,57:27.4,MP15LB5797,0.159641852
287,57:28.3,qO18AO8767,0.59735802
289,57:33.3,DL24O3150,0.316463971
289,57:34.0,DL24O3150,0.041573068
291,57:38.3,MP15LB5797,0.163026813
293,57:43.5,MP15BI5797,0.40901799
294,57:45.4,MR18BT5797,0.268810338
295,57:47.6,RI68T5797,0.321698677
296,57:51.2,qB18IO8767,0.492316513
297,57:52.9,WP16BT5797,0.39630622
298,57:55.5,PI68I5797,0.167128655
299,57:57.6,WP16BL5797,0.103441433
300,57:59.6,PI68I5797,0.196632572
302,58:04.4,MP15BT5797,0.181277545
303,58:07.0,MP16BI5797,0.105443255
306,58:13.8,WP15BT5797,0.20768529
306,58:14.8,WP15BT5797,0.050382343
308,58:19.3,MP15UB5797,0.166449621
309,58:22.4,WP15BT5797,0.183175333
310,58:24.7,JP15LB5797,0.213063575
312,58:29.6,MP16BL5797,0.185690449
313,58:32.0,HP15BL5797,0.088440271
314,58:34.6,MP16BL5797,0.106571113
315,58:36.2,WP16BT5797,0.165308686
315,58:36.6,WP16BT5797,0.370813746
316,58:38.3,WP16BT5797,0.141407705
316,58:38.6,WP16BT5797,0.218354178
317,58:40.1,MR16BT5297,0.102596405
317,58:40.4,MR16BT5297,0.809238546
318,58:42.1,MP16BT5797,0.175318802
318,58:42.3,MP16BT5797,0.286361341
319,58:43.8,MP16BT5797,0.17576842
320,58:46.1,MR16BT5797,0.095489046
321,58:47.9,JP16BL5797,0.132841918
321,58:48.2,JP16BL5797,0.175521467
324,58:54.8,MR16BI5797,0.147979523
324,58:55.1,MR16BI5797,0.482344903
325,58:57.2,MR18BS5797,0.104791648
332,59:13.0,MP15BL5292,0.151628634
332,59:13.5,MP15BL5292,0.132370012
336,59:21.5,IR16BI5297,0.116601924
336,59:22.0,IR16BI5297,0.191239328
337,59:23.7,IR16BI5297,0.361082367
337,59:24.1,IR16BI5297,0.297329983
339,59:27.7,WR16BT5297,0.310405969
340,59:29.5,MR16BI5297,0.151412124
341,59:31.3,MP16BI5297,0.145370979
342,59:33.2,MR18BI5797,0.267843952
343,59:35.0,MR18BI5797,0.101031064
344,59:36.8,MR16BI5797,0.201258412
345,59:38.8,MP16BL5297,0.126422192
346,59:40.5,MP16BL5297,0.281148995
347,59:42.3,MP16BL5297,0.103982722
348,59:44.0,MR16BI5797,0.130123675
349,59:45.7,MR16BI5797,0.108284905
350,59:47.5,MP15BL5297,0.282435859
350,59:48.1,MP15BL5297,0.079273679
351,59:50.0,MR16BI5297,0.138332716
351,59:50.3,MR16BI5297,0.327676124
352,59:52.1,MR16BI5297,0.073760402
352,59:52.4,MR16BI5297,0.194875512
353,59:54.7,MR16BI5297,0.114180496
353,59:55.2,MR16BI5297,0.097498694
354,59:57.6,MR16BI5297,0.075475028
361,00:11.0,MR16BI5297,0.147876944
362,00:12.9,MR16BI5297,0.176779767
363,00:14.7,MP16BL5297,0.102767882
365,00:18.4,NR15BL5292,0.142293633
366,00:20.3,HR11BI5297,0.055485423
367,00:22.0,IR16BI5797,0.136099765
368,00:23.8,IR16BL5797,0.200994818
369,00:25.5,RI88L5297,0.222584648
370,00:27.5,BI68L5797,0.116055881
371,00:29.5,NP16BL5797,0.204978403
372,00:31.7,IB18BL5797,0.241828871
